Column1;PC1;PC2;Unnamed: 0;Project;Treatment
231;7,460730755;-0,746988129;Intensity_1DLC012615QE_RRAG_012B_rep4;PXD012477;Non-Healthy
232;6,064232698;-0,393312037;Intensity_1DLC122914QE_RRAG_056_rep2;PXD012477;Healthy
233;-3,17670924;-1,488313363;Intensity_1DLC051815QE_RRAG_027B_rep2;PXD012477;Non-Healthy
234;-5,035702294;-0,628213851;Intensity_1DLC060615QE_RRAG_034B_rep1;PXD012477;Healthy
235;4,512146169;-1,505170555;Intensity_1DLC122214QE_RRAG_037_rep4;PXD012477;Healthy
236;6,886318478;-1,175990607;Intensity_1DLC012615QE_RRAG_014B_rep2;PXD012477;Healthy
237;-3,864248136;-1,619300636;Intensity_1DLC061715QE_RRAG_042B_rep1;PXD012477;Healthy
238;5,016793792;-0,489821446;Intensity_1DLC121414QE_RRAG_011_rep2;PXD012477;Healthy
239;7,750803967;-0,687337221;Intensity_1DLC122214QE_RRAG_039_rep1;PXD012477;Non-Healthy
240;-2,478346323;-1,12370022;Intensity_1DLC062715QE_RRAG_046B_rep3;PXD012477;Non-Healthy
241;-3,953824234;-1,456854704;Intensity_1DLC051815QE_RRAG_023B_rep4;PXD012477;Healthy
242;-3,224745264;-1,353063475;Intensity_1DLC052815QE_RRAG_024B_rep1;PXD012477;Healthy
243;-4,140031688;-1,663127405;Intensity_1DLC0080815QE_RRAG_004_rep1;PXD012477;Healthy
244;8,175440115;0,976403003;Intensity_1DLC122514QE_RRAG_043_rep2;PXD012477;Non-Healthy
245;6,436728843;-0,637800487;Intensity_1DLC121514QE_RRAG_021_rep1;PXD012477;Healthy
246;-2,413316607;-1,14589249;Intensity_1DLC060615QE_RRAG_036B_rep4;PXD012477;Healthy
247;-5,394583326;-0,756300513;Intensity_1DLC060615QE_RRAG_034B_rep2;PXD012477;Healthy
248;7,127363895;-0,982491018;Intensity_1DLC121514QE_RRAG_024_rep4;PXD012477;Healthy
249;7,895838597;0,82822642;Intensity_1DLC122514QE_RRAG_049_rep2;PXD012477;Non-Healthy
250;7,145033981;-0,801877073;Intensity_1DLC012615QE_RRAG_014B_rep3;PXD012477;Healthy
251;6,754957366;-0,214376516;Intensity_1DLC012615QE_RRAG_008B_rep2;PXD012477;Non-Healthy
252;-1,889334996;-0,817297695;Intensity_1DLC071515QE_RRAG_061B_rep4;PXD012477;Healthy
