ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn20952625,ag_104_gis.raw,1,image/RAW,1424905371,3320325,1570809474370,3320223,1576681340788,syn21444980,https://www.synapse.org/#!Synapse:syn20952625.1,898c3d504fd785ab4d50fa30e33187ca,/home/robbe/.synapseCache/252/43861252/ag_104_gis.RAW,
syn20952629,ag_10_0600.raw,1,image/RAW,1305744510,3320325,1570809499059,3320223,1576681341333,syn21444980,https://www.synapse.org/#!Synapse:syn20952629.1,aca982cd85a4fc656cb696295d7e8666,/home/robbe/.synapseCache/254/43861254/ag_10_0600.RAW,
syn20952631,ag_11_0227.raw,1,image/RAW,1307210536,3320325,1570809520823,3320223,1576681341894,syn21444980,https://www.synapse.org/#!Synapse:syn20952631.1,a978a6ceadfeb30b622843d281f9d147,/home/robbe/.synapseCache/256/43861256/ag_11_0227.RAW,
syn20952633,ag_12_0289.raw,1,image/RAW,1307527950,3320325,1570809543305,3320223,1576681342455,syn21444980,https://www.synapse.org/#!Synapse:syn20952633.1,d1869df011f39f511c8d5da76b103a6d,/home/robbe/.synapseCache/258/43861258/ag_12_0289.RAW,
syn20952636,ag_13_0173.raw,1,image/RAW,1296373450,3320325,1570809581987,3320223,1576681343049,syn21444980,https://www.synapse.org/#!Synapse:syn20952636.1,88c6461078a1570c5e63e3dde03e7d27,/home/robbe/.synapseCache/261/43861261/ag_13_0173.RAW,
syn20952659,ag_14_0235.raw,1,image/RAW,1307943845,3320325,1570809620009,3320223,1576681343607,syn21444980,https://www.synapse.org/#!Synapse:syn20952659.1,a259d97d846eae8e7984b73b0ebdc7d3,/home/robbe/.synapseCache/269/43861269/ag_14_0235.RAW,
syn20952678,ag_15_0285.raw,1,image/RAW,1301656819,3320325,1570809653442,3320223,1576681344226,syn21444980,https://www.synapse.org/#!Synapse:syn20952678.1,3fe29f72311210c0fc67d66aad9f3bff,/home/robbe/.synapseCache/293/43861293/ag_15_0285.RAW,
syn20952680,ag_16_0478.raw,1,image/RAW,1304474614,3320325,1570809680033,3320223,1576681344783,syn21444980,https://www.synapse.org/#!Synapse:syn20952680.1,4c0fba5f88c0694ba89605003269e316,/home/robbe/.synapseCache/296/43861296/ag_16_0478.RAW,
syn20952683,ag_17_0080.raw,1,image/RAW,1301905619,3320325,1570809717891,3320223,1576681345358,syn21444980,https://www.synapse.org/#!Synapse:syn20952683.1,bcb91e6521b24b1f3fcaf7873cfd8c51,/home/robbe/.synapseCache/298/43861298/ag_17_0080.RAW,
syn20952687,ag_18_aegis.raw,1,image/RAW,1267888075,3320325,1570809738961,3320223,1576681345926,syn21444980,https://www.synapse.org/#!Synapse:syn20952687.1,e1b752df760cd6112105f2c330f768b3,/home/robbe/.synapseCache/304/43861304/ag_18_aegis.RAW,
syn20952712,ag_19_gis.raw,1,image/RAW,1311516840,3320325,1570809777627,3320223,1576681346482,syn21444980,https://www.synapse.org/#!Synapse:syn20952712.1,7c60c7e56959498c733fb0df05a9e920,/home/robbe/.synapseCache/306/43861306/ag_19_gis.RAW,
syn20952735,ag_20_0528.raw,1,image/RAW,1271501165,3320325,1570809801338,3320223,1576681347317,syn21444980,https://www.synapse.org/#!Synapse:syn20952735.1,f3b58babf4d0312c2bfdee6186ecb843,/home/robbe/.synapseCache/312/43861312/ag_20_0528.RAW,
syn20952758,ag_21_0436.raw,1,image/RAW,1290322447,3320325,1570809826824,3320223,1576681347870,syn21444980,https://www.synapse.org/#!Synapse:syn20952758.1,62283d48d3a6f0061fe08cc494d7c879,/home/robbe/.synapseCache/320/43861320/ag_21_0436.RAW,
syn20952788,ag_22_0049.raw,1,image/RAW,1341006138,3320325,1570809855791,3320223,1576681348476,syn21444980,https://www.synapse.org/#!Synapse:syn20952788.1,c506cf6ea58b6095247baedbe6f3f202,/home/robbe/.synapseCache/330/43861330/ag_22_0049.RAW,
syn20952827,ag_23_0414.raw,1,image/RAW,1331766263,3320325,1570809893072,3320223,1576681349028,syn21444980,https://www.synapse.org/#!Synapse:syn20952827.1,0ebbe61df28fff9b2891548d96408793,/home/robbe/.synapseCache/341/43861341/ag_23_0414.RAW,
syn20952852,ag_24_0126.raw,1,image/RAW,1288149720,3320325,1570809918989,3320223,1576681349608,syn21444980,https://www.synapse.org/#!Synapse:syn20952852.1,0a69c0e977eab53454693a4ed18a9c87,/home/robbe/.synapseCache/349/43861349/ag_24_0126.RAW,
syn20952897,ag_25_0166.raw,1,image/RAW,1320585471,3320325,1570809962014,3320223,1576681350257,syn21444980,https://www.synapse.org/#!Synapse:syn20952897.1,27c897ef6746425a75e801fb09df5866,/home/robbe/.synapseCache/363/43861363/ag_25_0166.RAW,
syn20952928,ag_26_0570.raw,1,image/RAW,1320940574,3320325,1570809994746,3320223,1576681350864,syn21444980,https://www.synapse.org/#!Synapse:syn20952928.1,ea5a871f4764e3ca72b54b16dbf57b2a,/home/robbe/.synapseCache/371/43861371/ag_26_0570.RAW,
syn20952951,ag_27_0420.raw,1,image/RAW,1322635887,3320325,1570810016686,3320223,1576681351466,syn21444980,https://www.synapse.org/#!Synapse:syn20952951.1,b40dd67a19eea223c9a22c67217018f6,/home/robbe/.synapseCache/379/43861379/ag_27_0420.RAW,
syn20952984,ag_28_0489.raw,1,image/RAW,1319757009,3320325,1570810053117,3320223,1576681352051,syn21444980,https://www.synapse.org/#!Synapse:syn20952984.1,c8a934bdc829dad937925b8e873ca60e,/home/robbe/.synapseCache/389/43861389/ag_28_0489.RAW,
syn20953010,ag_29_0455.raw,1,image/RAW,1325165415,3320325,1570810082887,3320223,1576681352597,syn21444980,https://www.synapse.org/#!Synapse:syn20953010.1,3ddcb67e3dbcb048cff9855517f9343f,/home/robbe/.synapseCache/397/43861397/ag_29_0455.RAW,
syn20953039,ag_30_0231.raw,1,image/RAW,1338674956,3320325,1570810111582,3320223,1576681355137,syn21444980,https://www.synapse.org/#!Synapse:syn20953039.1,f4eb9d9c7a3d76af520fde299f492eac,/home/robbe/.synapseCache/406/43861406/ag_30_0231.RAW,
